Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,156307,7281,128791.0,20235.0,3898,182,774655.0,19319.0,40097200
Albania,186222,2937,175451.0,7834.0,64805,1022,1311540.0,456411.0,2873596
Algeria,206649,5927,141811.0,58911.0,4602,132,230861.0,5141.0,44907419
Andorra,15516,130,15242.0,144.0,200387,1679,193595.0,2500258.0,77430
Angola,64487,1713,53376.0,9398.0,1884,50,1092363.0,31915.0,34227629
Antigua and Barbuda,4069,102,3764.0,203.0,41096,1030,17674.0,178504.0,99012
Argentina,5291285,116010,5157511.0,17764.0,115657,2536,25185115.0,550498.0,45749693
Armenia,310629,6441,272332.0,31856.0,104566,2168,2120537.0,713830.0,2970646
Aruba,15937,171,15594.0,172.0,148428,1593,177885.0,1656717.0,107372
Australia,174276,1768,148491.0,24017.0,6730,68,43828060.0,1692534.0,25894935
Austria,840902,11380,780053.0,49469.0,92661,1254,97837484.0,10780920.0,9075059
Azerbaijan,534748,7132,497363.0,30253.0,52113,695,5214586.0,508183.0,10261240
Bahamas,22429,643,21138.0,648.0,56317,1615,157976.0,396664.0,398262
Bahrain,276917,1393,275139.0,385.0,155546,782,6952933.0,3905501.0,1780292
Bangladesh,1569982,27873,1533836.0,8273.0,9408,167,10389635.0,62258.0,166880617
Barbados,18459,158,11506.0,6795.0,64128,549,392318.0,1362949.0,287845
Belarus,604037,4662,577482.0,21893.0,63952,494,9661788.0,1022934.0,9445168
Belgium,1360650,25994,1214256.0,120400.0,116724,2230,21692310.0,1860879.0,11657025
Belize,27305,499,24447.0,2359.0,67046,1225,312994.0,768540.0,407258
Benin,24749,161,24346.0,242.0,1973,13,604310.0,48166.0,12546328
Bermuda,5657,104,5487.0,66.0,91286,1678,600364.0,9687978.0,61970
Bhutan,2621,3,2610.0,8.0,3348,4,1201150.0,1534128.0,782953
Bolivia,513810,18928,475965.0,18917.0,43230,1593,2544536.0,214086.0,11885574
Bosnia and Herzegovina,255054,11654,192218.0,51182.0,78393,3582,1311066.0,402968.0,3253527
Botswana,187281,2407,183644.0,1230.0,77551,997,1824059.0,755319.0,2414952
Brazil,21821124,608118,21015876.0,197130.0,101693,2834,63776166.0,297217.0,214577957
Brunei,13321,89,11723.0,1509.0,30065,201,512574.0,1156859.0,443074
Bulgaria,614362,24454,484365.0,105543.0,89316,3555,5666674.0,823826.0,6878485
Burkina Faso,15103,221,14661.0,221.0,697,10,226312.0,10445.0,21666920
Burundi,20078,38,773.0,19267.0,1624,3,345742.0,27967.0,12362441
Cabo Verde,38219,349,37738.0,132.0,67758,619,211166.0,374374.0,564051
Cambodia,118787,2807,115111.0,869.0,6976,165,2638255.0,154938.0,17027826
Cameroon,102499,1686,80433.0,20380.0,3737,61,1751774.0,63871.0,27426542
Canada,1720355,29056,1667744.0,23555.0,45054,761,46407041.0,1215348.0,38184154
CAR,11579,100,6859.0,4620.0,2343,20,60228.0,12187.0,4941805
Chad,5105,175,4874.0,56.0,299,10,148082.0,8683.0,17053706
Chile,1698127,37782,1618820.0,41525.0,87825,1954,23672372.0,1224303.0,19335381
China,97423,4636,91787.0,1000.0,68,3,160000000.0,111163.0,1439323776
Colombia,5005402,127348,4849200.0,28854.0,96991,2468,26871137.0,520687.0,51607128
Comoros,4272,147,4073.0,52.0,4777,164,,,894302
Congo,17670,278,12421.0,4971.0,3100,49,188207.0,33024.0,5699114
Costa Rica,561054,7093,505709.0,48252.0,108811,1376,2544016.0,493385.0,5156248
Croatia,472259,9291,442406.0,20562.0,115994,2282,3113199.0,764649.0,4071409
Cuba,953183,8246,941502.0,3435.0,84223,729,10558968.0,932987.0,11317374
Curaçao,17100,175,16825.0,100.0,103643,1061,315794.0,1914019.0,164990
Cyprus,123251,576,90755.0,31920.0,101100,472,9420908.0,7727757.0,1219100
Czechia,1783227,30840,1679786.0,72601.0,166105,2873,40842462.0,3804418.0,10735536
Denmark,391221,2716,367699.0,20806.0,67226,467,86213618.0,14814708.0,5819461
Djibouti,13486,182,13259.0,45.0,13390,181,237177.0,235487.0,1007177
Dominica,4823,32,4337.0,454.0,66777,443,92406.0,1279418.0,72225
Dominican Republic,383317,4138,373682.0,5497.0,34869,376,2227882.0,202660.0,10993189
DRC,57565,1098,50930.0,5537.0,618,12,306299.0,3287.0,93187449
Ecuador,515859,32958,443880.0,39021.0,28658,1831,1917796.0,106541.0,18000607
Egypt,332889,18769,279823.0,34297.0,3173,179,3693367.0,35205.0,104909053
El Salvador,113422,3654,94980.0,14788.0,17370,560,1357788.0,207933.0,6529936
Equatorial Guinea,13377,167,12894.0,316.0,9135,114,242340.0,165494.0,1464346
Eritrea,6860,45,6736.0,79.0,1899,12,23693.0,6560.0,3611940
Estonia,196951,1550,167910.0,27491.0,148337,1167,2154943.0,1623030.0,1327728
Eswatini,46438,1242,45137.0,59.0,39481,1056,371842.0,316137.0,1176206
Ethiopia,365776,6486,341188.0,18102.0,3080,55,3709106.0,31232.0,118758942
Fiji,52180,674,49860.0,1646.0,57650,745,443393.0,489870.0,905123
Finland,159798,1170,46000.0,112628.0,28781,211,7493068.0,1349561.0,5552225
France,7170782,117763,6951326.0,101693.0,109534,1799,151204954.0,2309652.0,65466558
French Guiana,44784,311,9995.0,34478.0,144933,1006,430383.0,1392834.0,308998
French Polynesia,40178,636,33500.0,6042.0,141933,2247,26355.0,93102.0,283078
Gabon,35841,244,29078.0,6519.0,15612,106,1330855.0,579706.0,2295742
Gambia,9973,341,9618.0,14.0,3978,136,118928.0,47436.0,2507113
Georgia,732965,10185,673640.0,49140.0,184212,2560,10359197.0,2603514.0,3978929
Germany,4635558,96439,4315100.0,224019.0,55092,1146,77993513.0,926927.0,84141978
Ghana,130287,1182,127396.0,1709.0,4079,37,1873852.0,58672.0,31937898
Greece,754451,16050,691597.0,46804.0,72859,1550,26509644.0,2560089.0,10354970
Grenada,5850,198,5540.0,112.0,51669,1749,81912.0,723476.0,113220
Guadeloupe,54537,742,2250.0,51545.0,136269,1854,495286.0,1237550.0,400215
Guatemala,601793,15179,581826.0,4788.0,32782,827,2912218.0,158638.0,18357664
Guinea,30672,385,29553.0,734.0,2254,28,566807.0,41654.0,13607405
Guinea-Bissau,6134,141,5588.0,405.0,3022,69,102779.0,50630.0,2030004
Guyana,35719,926,32218.0,2575.0,45121,1170,356822.0,450747.0,791624
Haiti,24004,677,20374.0,2953.0,2071,58,131683.0,11364.0,11588116
Honduras,375877,10274,116003.0,249600.0,37161,1016,1093901.0,108148.0,10114827
Hong Kong,12350,213,12034.0,103.0,1630,28,26815363.0,3538475.0,7578227
Hungary,876497,30920,800796.0,44781.0,91040,3212,7464487.0,775325.0,9627553
Iceland,13829,33,12863.0,933.0,40177,96,1149479.0,3339548.0,344202
India,34308140,459203,33697740.0,151197.0,24539,328,611278853.0,437214.0,1398124254
Indonesia,4245373,143457,4090287.0,11629.0,15305,517,47206855.0,170185.0,277386049
Iran,5944599,126616,5534667.0,283316.0,69586,1482,35726294.0,418203.0,85428203
Iraq,2057716,23223,2006270.0,28223.0,49672,561,15851770.0,382654.0,41425871
Ireland,452172,5436,388190.0,58546.0,90228,1085,8019575.0,1600255.0,5011437
Isle of Man,9796,57,9091.0,648.0,114394,666,128771.0,1503737.0,85634
Israel,1331597,8106,1315926.0,7565.0,142783,869,29669179.0,3181340.0,9326000
Italy,4777614,132161,4561006.0,84447.0,79174,2190,104637037.0,1734039.0,60342962
Ivory Coast,61319,696,60071.0,552.0,2250,26,1092753.0,40103.0,27248860
Jamaica,89170,2246,58267.0,28657.0,29939,754,643276.0,215978.0,2978438
Japan,1722966,18275,1700728.0,3963.0,13679,145,26540362.0,210707.0,125958756
Jordan,866451,11062,833739.0,21650.0,83809,1070,11041412.0,1067999.0,10338408
Kazakhstan,943105,12152,892147.0,38806.0,49438,637,11575012.0,606766.0,19076581
Kenya,253409,5282,246957.0,1170.0,4578,95,2714255.0,49038.0,55350530
Kuwait,412731,2462,409919.0,350.0,94775,565,4862318.0,1116525.0,4354866
Kyrgyzstan,181499,2676,175892.0,2931.0,27220,401,1779580.0,266891.0,6667825
Laos,41829,70,6558.0,35201.0,5640,9,651828.0,87889.0,7416475
Latvia,221795,3312,183973.0,34510.0,119354,1782,4985118.0,2682623.0,1858300
Lebanon,643047,8515,617459.0,17073.0,94781,1255,4780275.0,704580.0,6784572
Lesotho,21640,658,12549.0,8433.0,9996,304,239915.0,110819.0,2164934
Liberia,5815,287,5458.0,70.0,1115,55,128246.0,24586.0,5216145
Libya,358463,5139,300232.0,53092.0,51238,735,1798661.0,257098.0,6996021
Liechtenstein,3594,61,3471.0,62.0,93902,1594,49126.0,1283535.0,38274
Lithuania,412769,5936,364678.0,42155.0,154510,2222,5624925.0,2105557.0,2671466
Luxembourg,82082,848,79209.0,2025.0,128340,1326,3598337.0,5626199.0,639568
Madagascar,42898,958,41322.0,618.0,1498,33,249510.0,8712.0,28639677
Malawi,61802,2302,57716.0,1784.0,3123,116,426997.0,21578.0,19788684
Malaysia,2481339,29045,2385432.0,66862.0,75376,882,34481507.0,1047446.0,32919617
Maldives,88058,243,85942.0,1873.0,159166,439,1605027.0,2901109.0,553246
Mali,16148,568,14679.0,901.0,768,27,456469.0,21708.0,21027779
Malta,37702,462,36609.0,631.0,85084,1043,1211456.0,2733954.0,443115
Martinique,42634,670,104.0,41860.0,113728,1787,376921.0,1005455.0,374876
Mauritania,37435,798,36007.0,630.0,7779,166,486048.0,100997.0,4812513
Mauritius,18101,194,1854.0,16053.0,14201,152,358675.0,281404.0,1274589
